key,canton,cantonName,schoolLanguage,regionalProfile,curriculumSystem,profileId,productStatus,miDelivery,languagePlan,grade1,grade2,grade3,grade4,grade5,grade6,note
"GR-DE-RM","GR","Graubünden","de","de_romansh","lp21","lp21_gr_de_rm3_e5","guarded","grades_5_6","L2 romansh from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Graubuenden German school with Romansh from grade 3; guarded until Romansh content exists."
"GR-DE-RM1","GR","Graubünden","de","de_romansh_grade1","lp21","lp21_gr_de_rm1_e5","guarded","grades_5_6","L2 romansh from grade 1 (1:2/2:2/3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Graubuenden German school with Romansh from grade 1; guarded until Romansh content exists."
"GR-IT-DE","GR","Graubünden","it","italian_german","lp21","lp21_gr_it_d3_e5","guarded","grades_5_6","L2 german from grade 3 (3:3/4:3/5:3/6:3, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Italian-school-language region; guarded until German-as-foreign/Italian support exists."
"GR-RM-DE","GR","Graubünden","rm","romansh_german","lp21","lp21_gr_rm_d3_e5","guarded","grades_5_6","L2 german from grade 3 (3:3/4:4/5:5/6:5, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Romansh-school-language region; guarded until German-as-foreign/Romansh support exists."
"JU-FR","JU","Jura","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language canton; PER guarded."
"LU-DE","LU","Luzern","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","integrated","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"NE-FR","NE","Neuenburg","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language canton; PER guarded."
"NW-DE","NW","Nidwalden","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","integrated","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"OW-DE","OW","Obwalden","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","integrated","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"SG-DE","SG","St. Gallen","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:2/4:3/5:2/6:2, 50min); L3 french from grade 5 (5:2/6:2, 50min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"SH-DE","SH","Schaffhausen","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"SO-DE","SO","Solothurn","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","grades_3_6","L2 french from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Default LP21 German-school-language row."
"SZ-DE","SZ","Schwyz","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:2/4:2/5:2/6:2, 45min); L3 french from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"TG-DE","TG","Thurgau","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:2/5:2/6:2, 45min); L3 french from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"TI-IT","TI","Tessin","it","","piano_di_studio","unsupported_piano_di_studio","guarded","integrated","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Piano di studio guarded."
"UR-DE","UR","Uri","de","","lp21","lp21_e3_i5_optional","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 italian from grade 5 optional (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Default LP21 German-school-language row."
"VD-FR","VD","Waadt","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language canton; PER guarded."
"VS-DE","VS","Wallis","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","integrated","L2 french from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","German-school-language region; LP21 supported."
"VS-FR","VS","Wallis","fr","","per","unsupported_per","guarded","integrated","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language region; PER guarded."
"ZG-DE","ZG","Zug","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"ZH-DE","ZH","Zürich","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
